vehicle_id,Curb_Weight,year
21007,1729.0,2013
21009,1293.7552967490026,2013
21011,1296.0445396388436,2013
21012,1298.6782313763624,2013
21013,1715.0,2013
21014,1385.3159179038407,2013
21015,1729.0,2013
21016,1378.4513172789013,2013
21020,1884.0,2013
21022,1884.0,2013
21024,1750.0,2013
21025,1755.0,2013
21026,2201.369512720442,2013
21029,1296.247291659321,2013
21030,1332.393256329077,2013
21031,1618.0,2013
21035,1683.0,2013
21036,1683.0,2013
21037,1882.0,2013
21038,2742.0,2013
21039,2722.0,2013
21040,2715.0,2013
21042,1611.0,2013
21044,1703.1150301659127,2013
21047,2224.801552479685,2013
21048,1856.0,2013
21049,1785.0,2013
21050,1856.0,2013
21053,1883.0,2013
21054,1939.0,2013
21055,1953.0,2013
21056,1953.0,2013
21057,1644.0,2013
21065,1822.0,2013
21070,1815.0,2013
21074,2392.0,2013
21075,1641.0,2013
21076,2392.0,2013
21077,1640.0,2013
21079,1835.0,2013
21080,2064.6426616586027,2013
21081,1986.270844155844,2013
21082,1800.0,2013
21083,2423.0,2013
21086,2423.0,2013
21087,2423.0,2013
21088,1815.0,2013
21091,1805.0,2013
21092,1806.0,2013
21093,1840.9958333333334,2013
21094,1836.8481834130787,2013
21098,1635.0,2013
21099,1841.0,2013
21102,1871.0,2013
21104,1875.0,2013
21107,1875.0,2013
21108,1880.0,2013
21109,1880.0,2013
21116,1870.0,2013
21117,1870.0,2013
21118,2385.0,2013
21121,1632.0,2013
21123,1845.0,2013
21124,1845.0,2013
21125,1631.0,2013
21129,1630.0,2013
21130,1630.0,2013
21131,1860.0,2013
21132,1860.0,2013
21134,1613.0,2013
21136,2189.072566006261,2013
21143,1301.0,2013
21146,2627.0,2013
21153,1303.0,2013
21154,1306.0,2013
21155,1710.0,2013
21160,1543.0,2013
21161,1304.0,2013
21163,1720.0,2013
21164,1721.0,2013
21165,1994.0,2013
21166,1599.0,2013
21168,1558.0,2013
21176,1488.0,2013
21179,1756.0,2013
21180,1773.0,2013
21183,1778.0,2013
21185,1485.0,2013
21186,1899.747841047841,2013
21189,1755.0,2013
21191,1656.0,2013
21192,1655.0,2013
21194,1735.0,2013
21197,1735.0,2013
21200,2528.0,2013
21203,1751.0,2013
21205,2489.0,2013
21206,1731.137440860215,2013
21207,1250.0,2013
21208,2151.0,2013
21209,1134.0,2013
21211,1950.0,2013
21212,1448.0,2013
21213,1449.0,2013
21215,1373.0,2013
21217,1450.0,2013
21218,1450.0,2013
21220,1451.0,2013
21222,1455.0,2013
21224,1438.0,2013
21225,1290.0,2013
21226,1290.0,2013
21227,1246.0,2013
21229,1580.0,2013
21230,1580.0,2013
21231,1370.0,2013
21235,1479.0,2013
21236,1479.0,2013
21237,1160.0,2013
21238,1160.0,2013
21239,1285.0,2013
21241,1438.0,2013
21243,965.0,2013
21244,1197.0,2013
21246,1232.0,2013
21247,1229.0,2013
21248,1222.0,2013
21249,2495.0,2013
21250,1411.0,2013
21252,1821.0,2013
21253,1515.0,2013
21256,1624.4105641025642,2013
21261,1850.0,2013
21262,1850.0,2013
21264,1436.0,2013
21265,1750.0,2013
21267,1285.0,2013
21268,1723.0,2013
21269,1780.0,2013
21275,1785.0,2013
21276,1444.0,2013
21277,1480.0,2013
21278,1215.0,2013
21279,1530.0,2013
21280,1530.0,2013
21281,1530.0,2013
21282,1530.0,2013
21283,1527.0,2013
21284,1527.0,2013
21287,1531.0,2013
21288,1570.0,2013
21293,1526.0,2013
21299,1413.0,2013
21303,1546.0,2013
21305,1549.0,2013
21308,1553.0,2013
21311,1360.0,2013
21312,1360.0,2013
21314,1230.0,2013
21315,1230.0,2013
